"name",                  "genre",       "country",       "date",      "producer"
"Star Wars",             "Sci-Fi",      "America",       "1977",      "George Lucas"
"American Pie",          "Comedy",      "America",       "1999",      "Christopher Weitz"
"The Best of Enemies",   "Drama",	    "America",       "2019",      "Robin Bissell"
"Red Sea Diving Resort", "History",	    "America",       "2019",      "Gideon Raff"
"Alien",                 "Horror",      "America",       "1979",      "Ridley Scott"
	
	
